block,treat,densitycrop,densityweed,biomass,yl,weed
1,1,1,0,59.44,-16.38,1
2,1,1,0,34.39,32.66,1
3,1,1,0,56.69,-11.00,1
4,1,1,0,53.77,-5.28,1
1,2,1,1,12.7,75.13,1
2,2,1,1,13.95,72.69,1
3,2,1,1,12.43,75.66,1
4,2,1,1,23.18,54.61,1
1,3,1,2,4.55,91.09,1
2,3,1,2,3.91,92.34,1
3,3,1,2,7.46,85.39,1
4,3,1,2,3.32,93.50,1
1,4,1,3,1.24,97.57,1
2,4,1,3,4.29,91.60,1
3,4,1,3,8.11,84.12,1
4,4,1,3,1.53,97.00,1
1,5,1,4,4.56,91.07,1
2,5,1,4,2.16,95.77,1
3,5,1,4,3.82,92.52,1
4,5,1,4,1.95,96.18,1
1,1,1,0,38.71,12.11,2
2,1,1,0,47.25,-7.28,2
3,1,1,0,54.68,-24.15,2
4,1,1,0,35.53,19.33,2
1,2,1,1,35.76,18.81,2
2,2,1,1,27.59,37.36,2
3,2,1,1,28.12,36.15,2
4,2,1,1,28.5,35.29,2
1,3,1,2,20.89,52.57,2
2,3,1,2,35.04,20.44,2
3,3,1,2,24.06,45.37,2
4,3,1,2,32.39,26.46,2
1,4,1,3,20.58,53.27,2
2,4,1,3,9.5,78.43,2
3,4,1,3,13.14,70.17,2
4,4,1,3,9.08,79.38,2
1,5,1,4,13.26,69.89,2
2,5,1,4,26.76,39.24,2
3,5,1,4,26.82,39.10,2
4,5,1,4,22.69,48.48,2
