ph,Rate,Glyphosate,pH buffer
5.49,4x,no,no
5.48,4x,no,no
5.48,4x,no,no
5.47,4x,no,no
5.47,4x,no,no
5.46,4x,no,no
4.8,4x,yes,no
4.8,4x,yes,no
4.8,4x,yes,no
4.8,4x,yes,no
4.8,4x,yes,no
4.8,4x,yes,no
6.1,4x,no,yes
6.11,4x,no,yes
6.11,4x,no,yes
6.12,4x,no,yes
6.13,4x,no,yes
6.12,4x,no,yes
5.43,4x,yes,yes
5.42,4x,yes,yes
5.42,4x,yes,yes
5.42,4x,yes,yes
5.41,4x,yes,yes
5.4,4x,yes,yes
6.16,1x,no,no
6.17,1x,no,no
6.18,1x,no,no
6.17,1x,no,no
6.18,1x,no,no
6.16,1x,no,no
4.93,1x,yes,no
4.93,1x,yes,no
4.95,1x,yes,no
4.96,1x,yes,no
4.98,1x,yes,no
4.98,1x,yes,no
6.3,1x,no,yes
6.27,1x,no,yes
6.3,1x,no,yes
6.31,1x,no,yes
6.32,1x,no,yes
6.32,1x,no,yes
5.32,1x,yes,yes
5.32,1x,yes,yes
5.34,1x,yes,yes
5.35,1x,yes,yes
5.35,1x,yes,yes
5.36,1x,yes,yes
