ph,Rate,AMS,Glyphosate
6.55,4x,no,no
6.54,4x,no,no
6.56,4x,no,no
6.63,4x,no,no
6.62,4x,no,no
6.67,4x,no,no
4.92,4x,no,yes
4.93,4x,no,yes
4.93,4x,no,yes
4.93,4x,no,yes
4.94,4x,no,yes
4.93,4x,no,yes
4.95,4x,no,yes
4.96,4x,no,yes
4.97,4x,no,yes
4.96,4x,no,yes
4.97,4x,no,yes
5,4x,no,yes
6.43,4x,no,no
6.47,4x,no,no
6.46,4x,no,no
6.57,4x,no,no
6.5,4x,no,no
6.53,4x,no,no
6.73,4x,yes,no
6.71,4x,yes,no
6.71,4x,yes,no
6.8,4x,yes,no
6.8,4x,yes,no
6.77,4x,yes,no
4.96,4x,yes,yes
5.03,4x,yes,yes
5.06,4x,yes,yes
5.13,4x,yes,yes
5.12,4x,yes,yes
5.11,4x,yes,yes
5.04,4x,yes,yes
5.03,4x,yes,yes
5.02,4x,yes,yes
5.05,4x,yes,yes
5.04,4x,yes,yes
5.05,4x,yes,yes
6.03,4x,yes,no
6.11,4x,yes,no
6.12,4x,yes,no
6.13,4x,yes,no
6.27,4x,yes,no
6.13,4x,yes,no
5.72,4x,no,yes
5.73,4x,no,yes
5.73,4x,no,yes
5.65,4x,no,yes
5.66,4x,no,yes
5.68,4x,no,yes
5.72,4x,yes,yes
5.72,4x,yes,yes
5.71,4x,yes,yes
5.63,4x,yes,yes
5.63,4x,yes,yes
5.64,4x,yes,yes
6.92,1x,no,no
6.91,1x,no,no
6.9,1x,no,no
6.94,1x,no,no
6.96,1x,no,no
6.99,1x,no,no
5.01,1x,no,yes
5.03,1x,no,yes
5.03,1x,no,yes
4.98,1x,no,yes
5.02,1x,no,yes
5.02,1x,no,yes
5.02,1x,no,yes
5.02,1x,no,yes
5.01,1x,no,yes
4.92,1x,no,yes
4.92,1x,no,yes
4.95,1x,no,yes
6.47,1x,no,no
6.46,1x,no,no
6.46,1x,no,no
6.65,1x,no,no
6.64,1x,no,no
6.62,1x,no,no
7,1x,yes,no
6.97,1x,yes,no
6.94,1x,yes,no
7.14,1x,yes,no
7.15,1x,yes,no
7.14,1x,yes,no
5.07,1x,yes,yes
5.07,1x,yes,yes
5.1,1x,yes,yes
5.07,1x,yes,yes
5.05,1x,yes,yes
5.06,1x,yes,yes
5.03,1x,yes,yes
5.04,1x,yes,yes
5.02,1x,yes,yes
4.97,1x,yes,yes
5.03,1x,yes,yes
4.98,1x,yes,yes
6.69,1x,yes,no
6.68,1x,yes,no
6.74,1x,yes,no
6.71,1x,yes,no
6.79,1x,yes,no
6.79,1x,yes,no
5.83,1x,no,yes
5.82,1x,no,yes
5.82,1x,no,yes
5.82,1x,no,yes
5.79,1x,no,yes
5.81,1x,no,yes
5.81,1x,yes,yes
5.81,1x,yes,yes
5.8,1x,yes,yes
5.78,1x,yes,yes
5.78,1x,yes,yes
5.77,1x,yes,yes
